127.0.0.1 - - [19/May/2019:00:50:13 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/May/2019:00:50:17 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [19/May/2019:00:50:17 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [19/May/2019:00:50:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/May/2019:01:00:12 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [19/May/2019:01:00:12 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:01:00:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/May/2019:01:00:14 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [19/May/2019:01:13:28 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [19/May/2019:01:13:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:01:13:30 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [19/May/2019:01:17:13 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [19/May/2019:01:18:38 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [19/May/2019:01:18:38 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2019:01:20:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [19/May/2019:01:23:13 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [19/May/2019:01:23:13 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
